objectid,name,country,nat_leg_te,leg_rec,area_ha,gfwid,globalid,shape_Length,shape_Area
520,Sombrerito,Brazil,Indigenous Territory,Y,12608,dd98ddb5-1329-46f5-9521-83a078294739,{0937D167-C4AE-4D6D-A2D1-33AAD63AD3EA},64169.4732293622,151237237.480412
521,Mar=,Brazil,Indigenous Territory,Y,42373,0f633c8e-6c03-4629-8600-8f28ef829c1e,{693D6E24-25F2-45FB-9CC7-710F74A06DFE},131499.898147364,427739287.134446
522,Pequizal do Naruv(tu,Brazil,Indigenous Territory,Y,27980,e70c19ef-e7a8-4c8b-b13d-ab25638ce323,{68569A1B-E6F6-4027-8F2B-C48AB59C65B8},100667.276141705,295200343.669114
523,Tupinambß de Oliventa,Brazil,Indigenous Territory,Y,47376,de964697-6f34-49fa-ac7d-f4b038e921ad,{519815FD-A096-42A0-990C-D81BB207614D},154245.215117145,511274338.167803
524,Las Casas,Brazil,Indigenous Territory,Y,21344.7011,dd0aa804-6183-4ebd-b37c-fd9e7219a1f0,{80DA6A71-7576-43AB-8DDB-41A5A727047F},66397.4832648926,219031295.364582
525,Porto Limoeiro,Brazil,Indigenous Territory,Y,4587.7205,e9fe31a3-58d8-4dcc-8d3d-616a9d4dac20,{856A9E67-1AC8-444D-9213-AE277BC4BE5B},38158.2529181337,50438220.4480879
526,Munduruku-Taquara,Brazil,Indigenous Territory,Y,25323,27e7fcf0-1047-4ff2-a4b1-5156d0130ad1,{ABAD5B4C-7590-43A6-B283-5B6E8419BB65},92445.5442401019,255654772.344015
527,Spo Marcos - MT,Brazil,Indigenous Reserve,Y,188478.26,5d78cc1f-2855-4d69-8ed3-b409b29ea30c,{C167EB81-7CA3-4F5E-B729-E2067CFDDD01},266642.041282787,1881866933.04655
528,Spo Domingos do Jacapari e Estatpo,Brazil,Indigenous Territory,Y,134781.7512,10aaa4ac-0c93-4912-b3b6-c461f84d4ca2,{4CE63B0D-554F-49C2-B987-BC84BFB144FB},164773.621141689,1360111580.97816
529,Spo Domingos - MT,Brazil,Indigenous Territory,Y,5704.8096,14b3a4c6-b6f8-432b-b690-5f8f70131244,{75300360-3D20-4DEC-8172-381B17E1C9E0},66504.5457025909,66377644.5334837
530,Spo Marcos - RR,Brazil,Indigenous Territory,Y,654110.0998,38fde50e-1784-4bea-ac58-c00d23f31a1a,{251F72AA-160E-472F-996E-1CF1C0C0E8BD},665694.171732531,6584918618.85677
531,Boa Vista - AM,Brazil,Indigenous Territory,Y,337.3562,4a4d9a05-a7cf-4777-8427-6d5a6a78864b,{34C0FDBC-AC26-41E5-8AC3-8BDDA88852C5},23339.4557131465,3406002.73983149
532,Boa Vista - PR,Brazil,Indigenous Territory,Y,7336.3308,d1e8dc6c-6257-421e-955a-341007b61381,{8783106B-C419-40EA-B55B-0A6EA1051C81},67681.0688945427,90048041.6571094
533,Cacique Fontoura,Brazil,Indigenous Territory,Y,32304.7226,6f41a5e6-d0a2-4c74-993c-6516c2087650,{5ECB02BF-96CE-42DB-B633-52DFECA9715F},119706.23117376,338434855.698837
534,Barreirinha,Brazil,Indigenous Territory,Y,2373.8,42a0680e-49e1-46c5-8307-e1dca502eac7,{9D9400B4-926E-46DB-B405-0D0BA3994AD5},31170.6214876559,23927439.3375768
535,Sarauß,Brazil,Indigenous Territory,Y,18610.323,e6bb2f6b-3465-4875-9ae6-7277048ba03a,{E77BDE29-89B6-448C-A3A6-A3AC070BF6A4},88187.2115476522,187635178.530028
536,Portal do Encantado,Brazil,Indigenous Territory,Y,43057,ab878820-2388-46e7-a2f8-32061bdc3158,{2386FD6A-D55E-4D8C-8681-38F82F04F7F5},126366.003561141,468896899.390368
537,Tarump,Brazil,Indigenous Territory,Y,2172,3a9f97eb-0b6c-4c16-8a40-a751232938ed,{AEAC2AE7-F634-4EA1-8BD5-EA14790B9418},26947.3298451188,27196634.0068429
538,Tumbalalß,Brazil,Indigenous Territory,Y,44978,f0794613-0c32-436b-867f-3605af1346ab,{8D1280DC-B875-4065-93CA-830EC2ABDAA9},118744.151723573,463552817.350028
539,Caieiras Velha II,Brazil,Indigenous Territory,Y,57.3935,df580010-37c2-414f-be05-0ce707baec21,{30CF5AA9-8AE2-49F7-AAE9-7E2696793132},3250.70835543995,653121.199786185
540,CuT CuT/ Marabitanas,Brazil,Indigenous Territory,Y,808645,c654c1c3-572a-4091-a926-4065cda3b18f,{5CE14FC3-7AF5-48F9-AF3F-0F266C120B90},522246.972739904,8137976064.22987
541,Arara da Volta Grande do Xingu,Brazil,Indigenous Territory,Y,25524.931,1b58e7db-1ae9-4ccb-a127-b62771596ebb,{2C451E42-5FCA-4225-B781-803B7FD148EB},103007.126847855,257872996.408292
542,Caxix=,Brazil,Indigenous Territory,Y,0,60ae649a-e20f-4064-bd58-b72f6465db80,{69960C8C-BD85-4527-9D6F-7324DF6DBACC},45777.7204505682,61152204.7760997
